t,h,dx,dy,X,Y,FPS
6.4442,20.00,0.00,0.00,0.80,0.27,72
6.4594,20.00,0.00,0.00,0.80,0.27,72
6.4705,20.00,0.00,0.00,0.80,0.27,72
6.4811,20.00,0.00,0.00,0.80,0.27,73
6.4988,20.00,0.00,0.00,0.80,0.27,72
6.5228,20.00,0.00,0.00,0.80,0.27,72
6.6199,20.00,0.00,0.00,0.80,0.27,71
6.6277,20.00,0.00,0.00,0.80,0.27,72
6.6370,20.00,0.00,0.00,0.80,0.27,72
6.6476,20.00,0.00,0.00,0.80,0.27,73
6.6598,20.00,0.00,0.00,0.80,0.27,73
6.6693,20.00,0.00,0.00,0.80,0.27,73
6.6912,20.00,0.00,0.00,0.80,0.27,73
6.7008,20.00,0.00,0.00,0.80,0.27,73
6.7201,20.00,0.00,0.00,0.80,0.27,73
6.7384,20.00,0.00,0.00,0.80,0.27,73
6.7478,20.00,0.00,0.00,0.80,0.27,73
6.7643,20.00,0.00,0.00,0.80,0.27,73
6.7750,20.00,0.00,0.00,0.80,0.27,73
6.8563,20.00,0.00,0.00,0.80,0.27,72
6.8646,20.00,0.00,0.00,0.80,0.27,73
6.9582,20.00,0.00,0.00,0.80,0.27,72
6.9662,20.00,0.00,0.00,0.80,0.27,73
6.9760,20.00,0.00,0.00,0.80,0.27,73
6.9971,20.00,0.00,0.00,0.80,0.27,73
7.0072,20.00,0.00,0.00,0.80,0.27,73
7.0276,20.00,0.00,0.00,0.80,0.27,73
7.0356,20.00,0.00,0.00,0.80,0.27,73
7.0518,20.00,0.00,0.00,0.80,0.27,73
7.0627,20.00,0.00,0.00,0.80,0.27,73
7.0711,20.00,0.00,0.00,0.80,0.27,74
7.0879,20.00,0.00,0.00,0.80,0.27,74
7.1035,20.00,0.00,0.00,0.80,0.27,74
7.1250,20.00,0.00,0.00,0.80,0.27,73
7.1325,20.00,0.00,0.00,0.80,0.27,74
7.1562,20.00,0.00,0.00,0.80,0.27,74
7.1656,20.00,0.00,0.00,0.80,0.27,74
7.1828,20.00,0.00,0.00,0.80,0.27,74
7.1978,20.00,0.00,0.00,0.80,0.27,74
7.2076,20.00,0.00,0.00,0.80,0.27,74
7.2214,20.00,0.00,0.00,0.80,0.27,74
7.2301,20.00,0.00,0.00,0.80,0.27,74
7.2422,20.00,0.00,0.00,0.80,0.27,74
7.2648,20.00,0.00,0.00,0.80,0.27,74
7.2723,20.00,0.00,0.00,0.80,0.27,75
7.2811,20.00,0.00,0.00,0.80,0.27,75
7.3044,20.00,0.00,0.00,0.80,0.27,75
7.3254,20.00,0.00,0.00,0.80,0.27,74
7.3352,20.00,0.00,0.00,0.80,0.27,75
7.3507,20.00,0.00,0.00,0.80,0.27,75
7.4257,20.00,0.00,0.00,0.80,0.27,74
7.4337,20.00,0.00,0.00,0.80,0.27,75
7.4439,20.00,0.00,0.00,0.80,0.27,75
7.4669,20.00,0.00,0.00,0.80,0.27,74
7.4832,20.00,0.00,0.00,0.80,0.27,74
7.4970,20.00,0.00,0.00,0.80,0.27,74
7.5076,20.00,0.00,0.00,0.80,0.27,74
7.5256,20.00,0.00,0.00,0.80,0.27,74
7.5429,20.00,0.00,0.00,0.80,0.27,74
7.5522,20.00,0.00,0.00,0.80,0.27,74
